date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:07	93912/93912	---M--	200	added ('OK')	image/png	etag:fJQzAkGYLW7WZbhktXL+QTHdA1fEv77GkmSZsRlHN4c=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FRANSA.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/RANSA7138.png	(from https://gardenchicperu.com/)
00:03:07	17566/17566	---M--	200	added ('OK')	image/png	etag:SZh9g+w4U0rFXFd0b+KDzpFIXLwp30Ta8tKRrh+qyNQ=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2Funique.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/unique6818.png	(from https://gardenchicperu.com/)
00:03:07	40189/40189	---M--	200	added ('OK')	image/png	etag:+DesrAL9LdvwKtbcsws3AX5m9NHtFXjnvZltX2pYJzU=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2Fprofuturo.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/profuturob2ab.png	(from https://gardenchicperu.com/)
00:03:07	49374/49374	---M--	200	added ('OK')	image/jpeg	etag:CgvE-BsEO1tx3EDGr6uJ4bCY9PQYCYH+wuLGKPurRqM=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2Fnosotros%2Fheader%2F04_COTIZA_CON_NOSOTROS.jpg&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/04_COTIZA_CON_NOSOTROSf0e0.jpeg	(from https://gardenchicperu.com/)
00:03:08	13447/13447	---M--	200	added ('OK')	image/png	etag:GI1A87Xelyem0S9VGRxuwzx-pOu2jRsCUP2hl4niX7E=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2Ffooter%2FLOGO_GBC_Mesa_trabajo_1.png&w=384&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/LOGO_GBC_Mesa_trabajo_1f369.png	(from https://gardenchicperu.com/)
00:03:08	99932/99932	---MCZ	200	added ('OK')	font/otf	etag:W/%221865c-1851b6ddd0a%22	https://gardenchicperu.com/_next/static/media/Bold.86c406c1.otf	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/media/Bold.86c406c1.otf	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:08	100668/100668	---MCZ	200	added ('OK')	font/otf	etag:W/%221893c-1851b6ddd0e%22	https://gardenchicperu.com/_next/static/media/Medium.d4f2c71d.otf	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/media/Medium.d4f2c71d.otf	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:09	100788/100788	---MCZ	200	added ('OK')	font/otf	etag:W/%22189b4-1851b6ddd0e%22	https://gardenchicperu.com/_next/static/media/Regular.f5817feb.otf	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/media/Regular.f5817feb.otf	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:09	34770/34770	---M--	200	added ('OK')	image/webp	etag:W/%2287d2-18347536751%22	https://gardenchicperu.com/imgs/banner/bannercontacto.webp	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/imgs/banner/bannercontacto.webp	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:10	87478/87478	---M--	200	added ('OK')	image/webp	etag:W/%22155b6-18347536751%22	https://gardenchicperu.com/imgs/banner/bg-blog.webp	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/imgs/banner/bg-blog.webp	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:10	559/559	---M--	200	added ('OK')	text/css	etag:W/%2222f-1851b6ddd0e%22	https://gardenchicperu.com/_next/static/css/543220d52808e1d9.css	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/css/543220d52808e1d9.css	(from https://gardenchicperu.com/nosotros)
00:03:10	5621/5621	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215f5-1851b6ddd0e%22	https://gardenchicperu.com/_next/static/chunks/pages/nosotros-2fab0bbc4a45bb40.js	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/chunks/pages/nosotros-2fab0bbc4a45bb40.js	(from https://gardenchicperu.com/nosotros)
00:03:10	152663/152663	---M--	200	added ('OK')	image/jpeg	etag:W/%2225457-18347536781%22	https://gardenchicperu.com/imgs/nosotros/about2.jpg	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/imgs/nosotros/about2.jpg	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:11	14034/14034	---M--	200	added ('OK')	image/png	etag:PIk+VYCiVRky0Y1JqJS0ddjd4gGkIeLN6E2h-9sTAUs=	https://gardenchicperu.com/_next/image?url=%2Ficons%2Fnosotros%2FbannerCarrousel%2FPLANTAS.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/PLANTASf9b5.png	(from https://gardenchicperu.com/nosotros)
00:03:11	13138/13138	---M--	200	added ('OK')	image/png	etag:HxITDoQXqG+ojk4p6U2Kd0hBy50Lf8FuzFezTFnhW-w=	https://gardenchicperu.com/_next/image?url=%2Ficons%2Fnosotros%2FbannerCarrousel%2FSERVICIOS.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/SERVICIOSc625.png	(from https://gardenchicperu.com/nosotros)
00:03:11	295688/295688	---M--	200	added ('OK')	image/webp	etag:W/%2248308-18347536751%22	https://gardenchicperu.com/imgs/banner/bg-tienda.webp	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/imgs/banner/bg-tienda.webp	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:11	13204/13204	---M--	200	added ('OK')	image/png	etag:Ixl3dhu8zUoTA4EAnWWgKUizZej-3vseLiW75Pxg7io=	https://gardenchicperu.com/_next/image?url=%2Ficons%2Fnosotros%2FbannerCarrousel%2FVIVERO.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/VIVERO56a3.png	(from https://gardenchicperu.com/nosotros)
00:03:11	236140/236140	---M--	200	added ('OK')	image/webp	etag:W/%2239a6c-18347536751%22	https://gardenchicperu.com/imgs/banner/bannerproyecto.webp	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/imgs/banner/bannerproyecto.webp	(from https://gardenchicperu.com/_next/static/css/7cf9dab3e90c2680.css)
00:03:11	23102/23102	---MCZ	404	error ('Not%20Found')	text/html	etag:%225a3e-zSphoIbbojzSkDLZNTb7ZxMZip0%22	https://gardenchicperu.com/'/imgs/nosotros/header/02_POR_ELEGIRNOS.jpg'	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/'/imgs/nosotros/header/02_POR_ELEGIRNOS.jpg'	(from https://gardenchicperu.com/nosotros)
00:03:12	23102/23102	---MCZ	404	error ('Not%20Found')	text/html	etag:%225a3e-zSphoIbbojzSkDLZNTb7ZxMZip0%22	https://gardenchicperu.com/'/imgs/nosotros/header/03_NUESTRA_MISION.jpg'	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/'/imgs/nosotros/header/03_NUESTRA_MISION.jpg'	(from https://gardenchicperu.com/nosotros)
00:03:12	9869/9869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22268d-1851b6ddd12%22	https://gardenchicperu.com/_next/static/chunks/545-4e3449a4976fd6e0.js	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/chunks/545-4e3449a4976fd6e0.js	(from https://gardenchicperu.com/servicios)
00:03:12	2027/2027	---MCZ	200	added ('OK')	application/javascript	etag:W/%227eb-1851b6ddd0e%22	https://gardenchicperu.com/_next/static/chunks/pages/servicios-6482eb5efa590b25.js	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/static/chunks/pages/servicios-6482eb5efa590b25.js	(from https://gardenchicperu.com/servicios)
00:03:13	150942/150942	---M--	200	added ('OK')	image/jpeg	etag:rwl2oilASnFVUqYnUPN6Pt2g3SUwUxcRIWcnC1p0SLo=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2Fservicios%2Fbanner%2F01_PRINCIPAL.jpg&w=2048&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/01_PRINCIPAL4429.jpeg	(from https://gardenchicperu.com/servicios)
00:03:14	62964/62964	---M--	200	added ('OK')	image/jpeg	etag:UEbROnCR2AMaByCeyXbZ+D24b0oIstrPCmE2+BpFPEI=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2Fservicios%2Ftechoverde%2F01_PRINCIPAL.jpg&w=2048&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/01_PRINCIPALb41c.jpeg	(from https://gardenchicperu.com/servicios)
00:03:14	127137/127137	---M--	200	added ('OK')	image/jpeg	etag:i51+rsBP7agzV5U7B+5sGtwoCIXpBxY+VM0jOqzFEfA=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2Fservicios%2Fmantenimiento%2F01_PRINCIPAL.jpg&w=2048&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/01_PRINCIPAL66b2.jpeg	(from https://gardenchicperu.com/servicios)
